Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 372: val_loss=4.2673, val_acc=0.2778
Epoch 373: val_loss=4.2673, val_acc=0.2738
Epoch 374: val_loss=4.2692, val_acc=0.2772
Epoch 375: val_loss=4.2774, val_acc=0.2752
Epoch 376: val_loss=4.2757, val_acc=0.2750
Epoch 377: val_loss=4.2690, val_acc=0.2780
Epoch 378: val_loss=4.2634, val_acc=0.2774
Epoch 379: val_loss=4.2680, val_acc=0.2765
Epoch 380: val_loss=4.2729, val_acc=0.2738
Epoch 381: val_loss=4.2659, val_acc=0.2757
Epoch 382: val_loss=4.2606, val_acc=0.2806
Epoch 383: val_loss=4.2655, val_acc=0.2772
Epoch 384: val_loss=4.2705, val_acc=0.2799
Epoch 385: val_loss=4.2670, val_acc=0.2742
Epoch 386: val_loss=4.2664, val_acc=0.2780
Epoch 387: val_loss=4.2669, val_acc=0.2767
Epoch 388: val_loss=4.2717, val_acc=0.2750
Epoch 389: val_loss=4.2713, val_acc=0.2767
Epoch 390: val_loss=4.2700, val_acc=0.2757
Epoch 391: val_loss=4.2744, val_acc=0.2778
Epoch 392: val_loss=4.2686, val_acc=0.2774
Epoch 393: val_loss=4.2716, val_acc=0.2769
Epoch 394: val_loss=4.2731, val_acc=0.2765
Epoch 395: val_loss=4.2720, val_acc=0.2755
Epoch 396: val_loss=4.2737, val_acc=0.2767
Epoch 397: val_loss=4.2695, val_acc=0.2776
Epoch 398: val_loss=4.2715, val_acc=0.2772
Epoch 399: val_loss=4.2716, val_acc=0.2772

==================================================
Training complete!
Final nonzero params: 337,783 / 422,243
Final sparsity: 20.00%
Compression ratio: 1.3x
Saved final model to ./checkpoints\final_model.pt
