Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 345: val_loss=2.2887, val_acc=0.5420
Epoch 346: val_loss=2.2925, val_acc=0.5411
Epoch 347: val_loss=2.2929, val_acc=0.5416
Epoch 348: val_loss=2.2925, val_acc=0.5409
Epoch 349: val_loss=2.3017, val_acc=0.5373
Epoch 350: val_loss=2.2895, val_acc=0.5435
Epoch 351: val_loss=2.2860, val_acc=0.5430
Epoch 352: val_loss=2.2879, val_acc=0.5430
Epoch 353: val_loss=2.2843, val_acc=0.5443
Epoch 354: val_loss=2.2895, val_acc=0.5403
Epoch 355: val_loss=2.2762, val_acc=0.5418
Epoch 356: val_loss=2.2815, val_acc=0.5424
Epoch 357: val_loss=2.2792, val_acc=0.5420
Epoch 358: val_loss=2.2770, val_acc=0.5435
Epoch 359: val_loss=2.2776, val_acc=0.5420
Epoch 360: val_loss=2.2609, val_acc=0.5422
Epoch 361: val_loss=2.2694, val_acc=0.5430
Epoch 362: val_loss=2.2805, val_acc=0.5437
Epoch 363: val_loss=2.2803, val_acc=0.5394
Epoch 364: val_loss=2.2755, val_acc=0.5420
Epoch 365: val_loss=2.2743, val_acc=0.5433
Epoch 366: val_loss=2.2714, val_acc=0.5416
Epoch 367: val_loss=2.2809, val_acc=0.5411
Epoch 368: val_loss=2.2782, val_acc=0.5409
Epoch 369: val_loss=2.2769, val_acc=0.5413
Epoch 370: val_loss=2.2765, val_acc=0.5422
Epoch 371: val_loss=2.2787, val_acc=0.5439
Epoch 372: val_loss=2.2778, val_acc=0.5439
Epoch 373: val_loss=2.2769, val_acc=0.5422
Epoch 374: val_loss=2.2754, val_acc=0.5430
Epoch 375: val_loss=2.2807, val_acc=0.5426
Epoch 376: val_loss=2.2806, val_acc=0.5424
Epoch 377: val_loss=2.2785, val_acc=0.5435
Epoch 378: val_loss=2.2748, val_acc=0.5445
Epoch 379: val_loss=2.2712, val_acc=0.5435
Epoch 380: val_loss=2.2696, val_acc=0.5424
Epoch 381: val_loss=2.2719, val_acc=0.5435
Epoch 382: val_loss=2.2699, val_acc=0.5437
Epoch 383: val_loss=2.2667, val_acc=0.5445
Epoch 384: val_loss=2.2665, val_acc=0.5435
Epoch 385: val_loss=2.2690, val_acc=0.5435
Epoch 386: val_loss=2.2687, val_acc=0.5450
Epoch 387: val_loss=2.2712, val_acc=0.5443
Epoch 388: val_loss=2.2671, val_acc=0.5426
Epoch 389: val_loss=2.2662, val_acc=0.5433
Epoch 390: val_loss=2.2647, val_acc=0.5435
Epoch 391: val_loss=2.2664, val_acc=0.5428
