Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 372: val_loss=4.7975, val_acc=0.2408
Epoch 373: val_loss=4.8029, val_acc=0.2400
Epoch 374: val_loss=4.7942, val_acc=0.2393
Epoch 375: val_loss=4.7971, val_acc=0.2393
Epoch 376: val_loss=4.7963, val_acc=0.2404
Epoch 377: val_loss=4.8033, val_acc=0.2393
Epoch 378: val_loss=4.7982, val_acc=0.2393
Epoch 379: val_loss=4.7981, val_acc=0.2393
Epoch 380: val_loss=4.7967, val_acc=0.2361
Epoch 381: val_loss=4.8054, val_acc=0.2385
Epoch 382: val_loss=4.7969, val_acc=0.2408
Epoch 383: val_loss=4.7971, val_acc=0.2417
Epoch 384: val_loss=4.7981, val_acc=0.2404
Epoch 385: val_loss=4.7963, val_acc=0.2400
Epoch 386: val_loss=4.7968, val_acc=0.2380
Epoch 387: val_loss=4.7966, val_acc=0.2400
Epoch 388: val_loss=4.7983, val_acc=0.2402
Epoch 389: val_loss=4.7990, val_acc=0.2425
Epoch 390: val_loss=4.7976, val_acc=0.2423
Epoch 391: val_loss=4.7984, val_acc=0.2393
Epoch 392: val_loss=4.7978, val_acc=0.2385
Epoch 393: val_loss=4.7971, val_acc=0.2387
Epoch 394: val_loss=4.7975, val_acc=0.2393
Epoch 395: val_loss=4.8000, val_acc=0.2391
Epoch 396: val_loss=4.8002, val_acc=0.2387
Epoch 397: val_loss=4.8002, val_acc=0.2387
Epoch 398: val_loss=4.7999, val_acc=0.2385
Epoch 399: val_loss=4.7998, val_acc=0.2385

==================================================
Training complete!
Final nonzero params: 422,243 / 422,243
Final sparsity: 0.00%
Compression ratio: 1.0x
Saved final model to ./checkpoints\final_model.pt
