Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 247: val_loss=0.0148, val_acc=1.0000
Epoch 248: val_loss=0.0147, val_acc=1.0000
Epoch 249: val_loss=0.0134, val_acc=1.0000
Epoch 250: val_loss=0.0136, val_acc=1.0000
Epoch 251: val_loss=0.0121, val_acc=1.0000
Epoch 252: val_loss=0.0118, val_acc=1.0000
Epoch 253: val_loss=0.0115, val_acc=1.0000
Epoch 254: val_loss=0.0106, val_acc=1.0000
Epoch 255: val_loss=0.0104, val_acc=1.0000
Epoch 256: val_loss=0.0097, val_acc=1.0000
Epoch 257: val_loss=0.4217, val_acc=0.9596
Epoch 258: val_loss=0.1159, val_acc=0.9996
Epoch 259: val_loss=0.0662, val_acc=0.9991
Epoch 260: val_loss=0.0352, val_acc=1.0000
Epoch 261: val_loss=0.0188, val_acc=1.0000
Epoch 262: val_loss=0.0149, val_acc=1.0000
Epoch 263: val_loss=0.0127, val_acc=1.0000
Epoch 264: val_loss=0.0120, val_acc=1.0000
Epoch 265: val_loss=0.0119, val_acc=1.0000
Epoch 266: val_loss=0.0118, val_acc=1.0000
Epoch 267: val_loss=0.0118, val_acc=1.0000
Epoch 268: val_loss=0.0118, val_acc=1.0000
Epoch 269: val_loss=0.0119, val_acc=1.0000
Epoch 270: val_loss=0.0119, val_acc=1.0000
Epoch 271: val_loss=0.0120, val_acc=1.0000
Epoch 272: val_loss=0.0121, val_acc=1.0000
Epoch 273: val_loss=0.0122, val_acc=1.0000
Epoch 274: val_loss=0.0122, val_acc=1.0000
Epoch 275: val_loss=0.0122, val_acc=1.0000
Epoch 276: val_loss=0.0122, val_acc=1.0000
Epoch 277: val_loss=0.0122, val_acc=1.0000
Epoch 278: val_loss=0.0121, val_acc=1.0000
Epoch 279: val_loss=0.0120, val_acc=1.0000
Epoch 280: val_loss=0.0119, val_acc=1.0000
Epoch 281: val_loss=0.0118, val_acc=1.0000
Epoch 282: val_loss=0.0116, val_acc=1.0000
Epoch 283: val_loss=0.0115, val_acc=1.0000
Epoch 284: val_loss=0.0113, val_acc=1.0000
Epoch 285: val_loss=0.0111, val_acc=1.0000
Epoch 286: val_loss=0.0109, val_acc=1.0000
Epoch 287: val_loss=0.0107, val_acc=1.0000
Epoch 288: val_loss=0.0104, val_acc=1.0000
Epoch 289: val_loss=0.0103, val_acc=1.0000
Epoch 290: val_loss=0.0100, val_acc=1.0000
Epoch 291: val_loss=0.0099, val_acc=1.0000
Epoch 292: val_loss=0.0097, val_acc=1.0000
Epoch 293: val_loss=0.0094, val_acc=1.0000
Epoch 294: val_loss=0.0092, val_acc=1.0000
Epoch 295: val_loss=0.0090, val_acc=1.0000
Epoch 296: val_loss=0.0087, val_acc=1.0000
Epoch 297: val_loss=0.0086, val_acc=1.0000
Epoch 298: val_loss=0.0084, val_acc=1.0000
Epoch 299: val_loss=0.0080, val_acc=1.0000
Epoch 300: val_loss=0.0078, val_acc=1.0000
Epoch 301: val_loss=0.0076, val_acc=1.0000
Epoch 302: val_loss=0.0075, val_acc=1.0000
Epoch 303: val_loss=0.0071, val_acc=1.0000
Epoch 304: val_loss=0.0069, val_acc=1.0000
Epoch 305: val_loss=0.0068, val_acc=1.0000
Epoch 306: val_loss=0.0065, val_acc=1.0000
Epoch 307: val_loss=0.0064, val_acc=1.0000
Epoch 308: val_loss=0.0063, val_acc=1.0000
Epoch 309: val_loss=0.0061, val_acc=1.0000
Epoch 310: val_loss=0.0060, val_acc=1.0000
Epoch 311: val_loss=0.0058, val_acc=1.0000
Epoch 312: val_loss=0.0056, val_acc=1.0000
Epoch 313: val_loss=0.0055, val_acc=1.0000
Epoch 314: val_loss=0.0053, val_acc=1.0000
Epoch 315: val_loss=0.0052, val_acc=1.0000
Epoch 316: val_loss=0.0050, val_acc=1.0000
Epoch 317: val_loss=0.0049, val_acc=1.0000
Epoch 318: val_loss=0.0048, val_acc=1.0000
Epoch 319: val_loss=0.0047, val_acc=1.0000
Epoch 320: val_loss=0.0046, val_acc=1.0000
Epoch 321: val_loss=0.0046, val_acc=1.0000
Epoch 322: val_loss=0.0046, val_acc=1.0000
Epoch 323: val_loss=0.0045, val_acc=1.0000
Epoch 324: val_loss=0.0043, val_acc=1.0000
Epoch 325: val_loss=0.0043, val_acc=1.0000
Epoch 326: val_loss=0.0043, val_acc=1.0000
Epoch 327: val_loss=0.0041, val_acc=1.0000
Epoch 328: val_loss=0.0041, val_acc=1.0000
Epoch 329: val_loss=0.0040, val_acc=1.0000
Epoch 330: val_loss=0.0040, val_acc=1.0000
Epoch 331: val_loss=0.0039, val_acc=1.0000
Epoch 332: val_loss=0.0039, val_acc=1.0000
Epoch 333: val_loss=0.0037, val_acc=1.0000
Epoch 334: val_loss=0.0037, val_acc=1.0000
Epoch 335: val_loss=0.0037, val_acc=1.0000
Epoch 336: val_loss=0.0036, val_acc=1.0000
Epoch 337: val_loss=0.0035, val_acc=1.0000
Epoch 338: val_loss=0.0035, val_acc=1.0000
Epoch 339: val_loss=0.0034, val_acc=1.0000
Epoch 340: val_loss=0.0033, val_acc=1.0000
Epoch 341: val_loss=0.0033, val_acc=1.0000
Epoch 342: val_loss=0.0032, val_acc=1.0000
Epoch 343: val_loss=0.0032, val_acc=1.0000
Epoch 344: val_loss=0.0032, val_acc=1.0000
Epoch 345: val_loss=0.0032, val_acc=1.0000
Epoch 346: val_loss=0.0031, val_acc=1.0000
Epoch 347: val_loss=0.0030, val_acc=1.0000
Epoch 348: val_loss=0.0030, val_acc=1.0000
Epoch 349: val_loss=0.0030, val_acc=1.0000
Epoch 350: val_loss=0.0030, val_acc=1.0000
Epoch 351: val_loss=0.0030, val_acc=1.0000
Epoch 352: val_loss=0.0029, val_acc=1.0000
Epoch 353: val_loss=0.0029, val_acc=1.0000
Epoch 354: val_loss=0.0028, val_acc=1.0000
Epoch 355: val_loss=0.0028, val_acc=1.0000
Epoch 356: val_loss=0.0028, val_acc=1.0000
Epoch 357: val_loss=0.0028, val_acc=1.0000
Epoch 358: val_loss=0.0028, val_acc=1.0000
Epoch 359: val_loss=0.0027, val_acc=1.0000
Epoch 360: val_loss=0.0027, val_acc=1.0000
Epoch 361: val_loss=0.0027, val_acc=1.0000
Epoch 362: val_loss=0.0027, val_acc=1.0000
Epoch 363: val_loss=0.0027, val_acc=1.0000
Epoch 364: val_loss=0.0026, val_acc=1.0000
Epoch 365: val_loss=0.0026, val_acc=1.0000
Epoch 366: val_loss=0.0026, val_acc=1.0000
Epoch 367: val_loss=0.0026, val_acc=1.0000
Epoch 368: val_loss=0.0026, val_acc=1.0000
Epoch 369: val_loss=0.0026, val_acc=1.0000
Epoch 370: val_loss=0.0026, val_acc=1.0000
Epoch 371: val_loss=0.0026, val_acc=1.0000
Epoch 372: val_loss=0.0025, val_acc=1.0000
Epoch 373: val_loss=0.0025, val_acc=1.0000
Epoch 374: val_loss=0.0025, val_acc=1.0000
Epoch 375: val_loss=0.0025, val_acc=1.0000
Epoch 376: val_loss=0.0025, val_acc=1.0000
Epoch 377: val_loss=0.0025, val_acc=1.0000
Epoch 378: val_loss=0.0025, val_acc=1.0000
Epoch 379: val_loss=0.0025, val_acc=1.0000
Epoch 380: val_loss=0.0025, val_acc=1.0000
Epoch 381: val_loss=0.0025, val_acc=1.0000
Epoch 382: val_loss=0.0025, val_acc=1.0000
Epoch 383: val_loss=0.0025, val_acc=1.0000
Epoch 384: val_loss=0.0025, val_acc=1.0000
Epoch 385: val_loss=0.0025, val_acc=1.0000
Epoch 386: val_loss=0.0025, val_acc=1.0000
Epoch 387: val_loss=0.0025, val_acc=1.0000
Epoch 388: val_loss=0.0025, val_acc=1.0000
Epoch 389: val_loss=0.0025, val_acc=1.0000
