Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 321: val_loss=6.0934, val_acc=0.3146
Epoch 322: val_loss=6.1116, val_acc=0.3109
Epoch 323: val_loss=6.0961, val_acc=0.3129
Epoch 324: val_loss=6.0917, val_acc=0.3137
Epoch 325: val_loss=6.1008, val_acc=0.3133
Epoch 326: val_loss=6.0863, val_acc=0.3165
Epoch 327: val_loss=6.0905, val_acc=0.3143
Epoch 328: val_loss=6.0787, val_acc=0.3165
Epoch 329: val_loss=6.0886, val_acc=0.3143
Epoch 330: val_loss=6.0842, val_acc=0.3139
Epoch 331: val_loss=6.0809, val_acc=0.3160
Epoch 332: val_loss=6.0683, val_acc=0.3190
Epoch 333: val_loss=6.0712, val_acc=0.3171
Epoch 334: val_loss=6.0713, val_acc=0.3163
Epoch 335: val_loss=6.0612, val_acc=0.3173
Epoch 336: val_loss=6.0636, val_acc=0.3182
Epoch 337: val_loss=6.0542, val_acc=0.3190
Epoch 338: val_loss=6.0572, val_acc=0.3175
Epoch 339: val_loss=6.0556, val_acc=0.3175
Epoch 340: val_loss=6.0395, val_acc=0.3201
Epoch 341: val_loss=6.0496, val_acc=0.3177
Epoch 342: val_loss=6.0361, val_acc=0.3214
Epoch 343: val_loss=6.0406, val_acc=0.3197
Epoch 344: val_loss=6.0318, val_acc=0.3203
Epoch 345: val_loss=6.0378, val_acc=0.3184
Epoch 346: val_loss=6.0347, val_acc=0.3188
Epoch 347: val_loss=6.0331, val_acc=0.3201
Epoch 348: val_loss=6.0297, val_acc=0.3224
Epoch 349: val_loss=6.0254, val_acc=0.3237
Epoch 350: val_loss=6.0148, val_acc=0.3224
Epoch 351: val_loss=6.0109, val_acc=0.3260
Epoch 352: val_loss=6.0148, val_acc=0.3218
Epoch 353: val_loss=6.0106, val_acc=0.3222
Epoch 354: val_loss=6.0083, val_acc=0.3228
Epoch 355: val_loss=6.0035, val_acc=0.3233
Epoch 356: val_loss=5.9971, val_acc=0.3252
Epoch 357: val_loss=5.9872, val_acc=0.3260
Epoch 358: val_loss=5.9995, val_acc=0.3224
Epoch 359: val_loss=5.9907, val_acc=0.3250
Epoch 360: val_loss=5.9899, val_acc=0.3267
Epoch 361: val_loss=5.9883, val_acc=0.3262
Epoch 362: val_loss=5.9805, val_acc=0.3258
Epoch 363: val_loss=5.9895, val_acc=0.3248
Epoch 364: val_loss=5.9752, val_acc=0.3245
Epoch 365: val_loss=5.9769, val_acc=0.3273
Epoch 366: val_loss=5.9727, val_acc=0.3277
Epoch 367: val_loss=5.9725, val_acc=0.3258
Epoch 368: val_loss=5.9675, val_acc=0.3258
Epoch 369: val_loss=5.9638, val_acc=0.3286
Epoch 370: val_loss=5.9532, val_acc=0.3286
Epoch 371: val_loss=5.9583, val_acc=0.3282
Epoch 372: val_loss=5.9551, val_acc=0.3267
Epoch 373: val_loss=5.9521, val_acc=0.3305
Epoch 374: val_loss=5.9399, val_acc=0.3305
Epoch 375: val_loss=5.9460, val_acc=0.3296
Epoch 376: val_loss=5.9417, val_acc=0.3316
Epoch 377: val_loss=5.9440, val_acc=0.3282
Epoch 378: val_loss=5.9394, val_acc=0.3282
Epoch 379: val_loss=5.9371, val_acc=0.3299
Epoch 380: val_loss=5.9360, val_acc=0.3299
Epoch 381: val_loss=5.9292, val_acc=0.3301
Epoch 382: val_loss=5.9268, val_acc=0.3313
Epoch 383: val_loss=5.9211, val_acc=0.3326
