100%|██████████| 1000/1000 [14:39<00:00,  1.14it/s]

============================================================
🔶 SPARSE TRAINING
============================================================
Config: 2L×128D×4H, L0=0.1
wandb: WARNING Calling wandb.login() after wandb.init() has no effect.
wandb: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 10000 steps (~1000 epochs)
Epoch 186: val_loss=4.5978, val_acc=0.0079
Epoch 187: val_loss=4.5977, val_acc=0.0079
Epoch 188: val_loss=4.5976, val_acc=0.0074
Epoch 189: val_loss=4.5975, val_acc=0.0070
Epoch 190: val_loss=4.5974, val_acc=0.0066
Epoch 191: val_loss=4.5990, val_acc=0.0079
Epoch 192: val_loss=4.5990, val_acc=0.0077
Epoch 193: val_loss=4.5987, val_acc=0.0081
Epoch 194: val_loss=4.5983, val_acc=0.0085
Epoch 195: val_loss=4.5995, val_acc=0.0074
Epoch 196: val_loss=4.5999, val_acc=0.0083
Epoch 197: val_loss=4.5994, val_acc=0.0083
Epoch 198: val_loss=4.5995, val_acc=0.0066
Epoch 199: val_loss=4.6004, val_acc=0.0077
Epoch 200: val_loss=4.5991, val_acc=0.0079
Epoch 201: val_loss=4.5987, val_acc=0.0089
Epoch 202: val_loss=4.5987, val_acc=0.0100
Epoch 203: val_loss=4.5978, val_acc=0.0096
Epoch 204: val_loss=4.5976, val_acc=0.0085
Epoch 205: val_loss=4.5976, val_acc=0.0087
Epoch 206: val_loss=4.5975, val_acc=0.0087
Epoch 207: val_loss=4.5971, val_acc=0.0081
Epoch 208: val_loss=4.5980, val_acc=0.0072
Epoch 209: val_loss=4.5981, val_acc=0.0074
Epoch 210: val_loss=4.5986, val_acc=0.0081
Epoch 211: val_loss=4.5981, val_acc=0.0074
Epoch 212: val_loss=4.6028, val_acc=0.0070
Epoch 213: val_loss=4.6022, val_acc=0.0066
Epoch 214: val_loss=4.6020, val_acc=0.0085
Epoch 215: val_loss=4.6015, val_acc=0.0085
Epoch 216: val_loss=4.6003, val_acc=0.0094
Epoch 217: val_loss=4.6004, val_acc=0.0087
Epoch 218: val_loss=4.5998, val_acc=0.0074
Epoch 219: val_loss=4.5991, val_acc=0.0072
Epoch 220: val_loss=4.5989, val_acc=0.0074
Epoch 221: val_loss=4.5985, val_acc=0.0064
Epoch 222: val_loss=4.5984, val_acc=0.0074
Epoch 223: val_loss=4.5980, val_acc=0.0074
Epoch 224: val_loss=4.5983, val_acc=0.0079
Epoch 225: val_loss=4.5982, val_acc=0.0087
Epoch 226: val_loss=4.5986, val_acc=0.0081
Epoch 227: val_loss=4.5986, val_acc=0.0096
Epoch 228: val_loss=4.5982, val_acc=0.0094
Epoch 229: val_loss=4.5979, val_acc=0.0091
Epoch 230: val_loss=4.6031, val_acc=0.0079
Epoch 231: val_loss=4.6026, val_acc=0.0087
Epoch 232: val_loss=4.6023, val_acc=0.0081
Epoch 233: val_loss=4.6007, val_acc=0.0070
Epoch 234: val_loss=4.6038, val_acc=0.0081
Epoch 235: val_loss=4.6032, val_acc=0.0081
Epoch 236: val_loss=4.6025, val_acc=0.0079
Epoch 237: val_loss=4.6018, val_acc=0.0079
Epoch 238: val_loss=4.6054, val_acc=0.0081
Epoch 239: val_loss=4.6050, val_acc=0.0089
Epoch 240: val_loss=4.6039, val_acc=0.0083
Epoch 241: val_loss=4.6029, val_acc=0.0089
Epoch 242: val_loss=4.6024, val_acc=0.0091
