Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 239: val_loss=4.5993, val_acc=0.0068
Epoch 240: val_loss=4.5992, val_acc=0.0072
Epoch 241: val_loss=4.5991, val_acc=0.0077
Epoch 242: val_loss=4.5993, val_acc=0.0068
Epoch 243: val_loss=4.5993, val_acc=0.0070
Epoch 244: val_loss=4.5994, val_acc=0.0079
Epoch 245: val_loss=4.5994, val_acc=0.0077
Epoch 246: val_loss=4.5995, val_acc=0.0074
Epoch 247: val_loss=4.5994, val_acc=0.0074
Epoch 248: val_loss=4.5994, val_acc=0.0079
Epoch 249: val_loss=4.5995, val_acc=0.0079
Epoch 250: val_loss=4.5995, val_acc=0.0068
Epoch 251: val_loss=4.5995, val_acc=0.0068
Epoch 252: val_loss=4.5995, val_acc=0.0070
Epoch 253: val_loss=4.5994, val_acc=0.0072
Epoch 254: val_loss=4.5995, val_acc=0.0072
Epoch 255: val_loss=4.5993, val_acc=0.0074
Epoch 256: val_loss=4.5994, val_acc=0.0070
Epoch 257: val_loss=4.5994, val_acc=0.0072
Epoch 258: val_loss=4.5994, val_acc=0.0079
Epoch 259: val_loss=4.5994, val_acc=0.0074
Epoch 260: val_loss=4.5995, val_acc=0.0070
Epoch 261: val_loss=4.5993, val_acc=0.0074
Epoch 262: val_loss=4.5993, val_acc=0.0072
Epoch 263: val_loss=4.5992, val_acc=0.0074
Epoch 264: val_loss=4.5993, val_acc=0.0072
Epoch 265: val_loss=4.5994, val_acc=0.0077
Epoch 266: val_loss=4.5994, val_acc=0.0074
Epoch 267: val_loss=4.5994, val_acc=0.0074
Epoch 268: val_loss=4.5994, val_acc=0.0081
Epoch 269: val_loss=4.5992, val_acc=0.0089
Epoch 270: val_loss=4.5991, val_acc=0.0085
Epoch 271: val_loss=4.5991, val_acc=0.0089
Epoch 272: val_loss=4.5992, val_acc=0.0085
Epoch 273: val_loss=4.5990, val_acc=0.0087
Epoch 274: val_loss=4.5989, val_acc=0.0077
Epoch 275: val_loss=4.5989, val_acc=0.0077
Epoch 276: val_loss=4.5989, val_acc=0.0068
Epoch 277: val_loss=4.5988, val_acc=0.0072
Epoch 278: val_loss=4.5989, val_acc=0.0074
Epoch 279: val_loss=4.5990, val_acc=0.0066
Epoch 280: val_loss=4.5990, val_acc=0.0077
Epoch 281: val_loss=4.5989, val_acc=0.0081
Epoch 282: val_loss=4.5990, val_acc=0.0079
Epoch 283: val_loss=4.5992, val_acc=0.0081
Epoch 284: val_loss=4.5991, val_acc=0.0072
Epoch 285: val_loss=4.5991, val_acc=0.0070
Epoch 286: val_loss=4.5990, val_acc=0.0070
Epoch 287: val_loss=4.5990, val_acc=0.0074
Epoch 288: val_loss=4.5990, val_acc=0.0077
Epoch 289: val_loss=4.5990, val_acc=0.0077
Epoch 290: val_loss=4.5990, val_acc=0.0079
Epoch 291: val_loss=4.5990, val_acc=0.0077
Epoch 292: val_loss=4.5990, val_acc=0.0077
Epoch 293: val_loss=4.5990, val_acc=0.0085
Epoch 294: val_loss=4.5989, val_acc=0.0081
Epoch 295: val_loss=4.5988, val_acc=0.0077
Epoch 296: val_loss=4.5989, val_acc=0.0070
Epoch 297: val_loss=4.5988, val_acc=0.0081
Epoch 298: val_loss=4.5988, val_acc=0.0079
